ticket_id,title,description,category,component,issue_type,severity,priority,status,assigned_team,environment,resolution,created_date,steps_to_reproduce
ITS-00094,Docking Station problem: cracked screen,The Docking Station has been cracked screen for the past few hours. OS: Ubuntu 22.04. Please help.,Hardware,Docking Station,Bug,Medium,Medium,Open,DevOps,Ubuntu 22.04,,2025-12-26,"1. Open Docking Station
2. Attempt normal operation
3. Observe: cracked screen"
ITS-00095,[Hardware] Printer - freezing randomly,The Printer has been freezing randomly for the past few hours. OS: macOS 14. Please help.,Hardware,Printer,Question,Medium,Medium,In Progress,Help Desk,macOS 14,,2025-12-27,"1. Open Printer
2. Attempt normal operation
3. Observe: freezing randomly"
ITS-00096,[Incident] Load Balancer - data sync failure between systems,"Hi, I need help. Load Balancer keeps data sync failure between systems. Started yesterday. I'm on Chrome OS.",Incident,Load Balancer,Incident,Medium,Medium,Closed,Network Engineering,Chrome OS,Applied emergency patch. Verified with user that issue is fixed.,2025-03-27,"1. Open Load Balancer
2. Attempt normal operation
3. Observe: data sync failure between systems"
ITS-00097,Email email forwarding setup,"Hi, I need help. Email keeps email forwarding setup. Started yesterday. I'm on Ubuntu 22.04.",Account,Email,Service Request,Medium,Medium,Resolved,IT Operations,Ubuntu 22.04,Reset password and synced. Verified with user that issue is fixed.,2025-04-28,"1. Open Email
2. Attempt normal operation
3. Observe: email forwarding setup"
ITS-00098,MFA group membership change needed,"Hi, I need help. MFA keeps group membership change needed. Started yesterday. I'm on Windows 10.",Account,MFA,Service Request,Medium,Medium,In Progress,Help Desk,Windows 10,,2025-02-15,"1. Open MFA
2. Attempt normal operation
3. Observe: group membership change needed"
ITS-00099,[Hardware] Desktop - battery not charging,Urgent: Desktop - battery not charging. Multiple users reporting similar issues. Environment is macOS 14.,Hardware,Desktop,Service Request,Medium,Medium,Open,Help Desk,macOS 14,,2025-12-15,"1. Open Desktop
2. Attempt normal operation
3. Observe: battery not charging"
ITS-00100,Storage problem: failover did not trigger,Issue with Storage: failover did not trigger. This is affecting my work. Running on Windows 10.,Incident,Storage,Incident,Medium,Medium,Open,Help Desk,Windows 10,,2025-03-11,"1. Open Storage
2. Attempt normal operation
3. Observe: failover did not trigger"
ITS-00101,[Incident] Web App - failover did not trigger,My Web App is failover did not trigger. I've been experiencing this since this morning. Environment: Chrome OS.,Incident,Web App,Incident,Medium,Medium,Closed,Network Engineering,Chrome OS,Performed manual failover. Verified with user that issue is fixed.,2025-10-05,"1. Open Web App
2. Attempt normal operation
3. Observe: failover did not trigger"
ITS-00102,[Account] MFA - permission denied,Urgent: MFA - permission denied. Multiple users reporting similar issues. Environment is Windows 10.,Account,MFA,Question,Medium,Medium,In Progress,IT Operations,Windows 10,,2025-01-14,"1. Open MFA
2. Attempt normal operation
3. Observe: permission denied"
ITS-00103,Ethernet problem: cannot reach specific websites,Urgent: Ethernet - cannot reach specific websites. Multiple users reporting similar issues. Environment is macOS 14.,Network,Ethernet,Service Request,Medium,Medium,Closed,Security,macOS 14,Updated WiFi driver. Verified with user that issue is fixed.,2025-05-12,"1. Open Ethernet
2. Attempt normal operation
3. Observe: cannot reach specific websites"
ITS-00104,Windows problem: not responding,The Windows has been not responding for the past few hours. OS: Windows 10. Please help.,Software,Windows,Service Request,High,High,Resolved,Security,Windows 10,Renewed license through admin portal. Verified with user that issue is fixed.,2025-04-01,"1. Open Windows
2. Attempt normal operation
3. Observe: not responding"
ITS-00105,Email problem: cannot access shared mailbox,The Email has been cannot access shared mailbox for the past few hours. OS: Ubuntu 22.04. Please help.,Account,Email,Bug,Low,Low,Closed,Security,Ubuntu 22.04,Granted appropriate permissions. Verified with user that issue is fixed.,2025-11-15,"1. Open Email
2. Attempt normal operation
3. Observe: cannot access shared mailbox"
ITS-00106,Laptop freezing randomly,"Hi, I need help. Laptop keeps freezing randomly. Started yesterday. I'm on Windows 10.",Hardware,Laptop,Bug,Low,Low,Open,Help Desk,Windows 10,,2025-03-03,"1. Open Laptop
2. Attempt normal operation
3. Observe: freezing randomly"
ITS-00107,Antivirus not responding,Urgent: Antivirus - not responding. Multiple users reporting similar issues. Environment is Windows 10.,Software,Antivirus,Bug,Medium,Medium,Closed,IT Operations,Windows 10,Rolled back to previous version. Verified with user that issue is fixed.,2025-04-25,"1. Open Antivirus
2. Attempt normal operation
3. Observe: not responding"
ITS-00108,Antivirus problem: update failed,The Antivirus has been update failed for the past few hours. OS: macOS 14. Please help.,Software,Antivirus,Service Request,High,High,Resolved,Help Desk,macOS 14,Configured firewall exceptions. Verified with user that issue is fixed.,2025-06-20,"1. Open Antivirus
2. Attempt normal operation
3. Observe: update failed"
ITS-00109,Windows slow loading,My Windows is slow loading. I've been experiencing this since this morning. Environment: Windows 11.,Software,Windows,Bug,Medium,Medium,Resolved,Network Engineering,Windows 11,Renewed license through admin portal. Verified with user that issue is fixed.,2025-01-27,"1. Open Windows
2. Attempt normal operation
3. Observe: slow loading"
ITS-00110,Laptop battery not charging,Urgent: Laptop - battery not charging. Multiple users reporting similar issues. Environment is Ubuntu 22.04.,Hardware,Laptop,Bug,Medium,Medium,Resolved,DevOps,Ubuntu 22.04,Reseated RAM modules. Verified with user that issue is fixed.,2025-04-28,"1. Open Laptop
2. Attempt normal operation
3. Observe: battery not charging"
ITS-00111,API Gateway disk space critical on production server,The API Gateway has been disk space critical on production server for the past few hours. OS: Chrome OS. Please help.,Incident,API Gateway,Incident,Medium,Medium,Open,IT Operations,Chrome OS,,2025-10-20,"1. Open API Gateway
2. Attempt normal operation
3. Observe: disk space critical on production server"
ITS-00112,Teams problem: update failed,My Teams is update failed. I've been experiencing this since this morning. Environment: macOS 14.,Software,Teams,Bug,High,High,Closed,Security,macOS 14,Cleared cache and temp files. Verified with user that issue is fixed.,2025-11-15,"1. Open Teams
2. Attempt normal operation
3. Observe: update failed"
ITS-00113,Windows slow loading,Issue with Windows: slow loading. This is affecting my work. Running on Chrome OS.,Software,Windows,Bug,Medium,Medium,Closed,Network Engineering,Chrome OS,Applied latest patch. Verified with user that issue is fixed.,2025-02-20,"1. Open Windows
2. Attempt normal operation
3. Observe: slow loading"
ITS-00114,Outlook cannot login,Issue with Outlook: cannot login. This is affecting my work. Running on Ubuntu 22.04.,Software,Outlook,Question,Medium,Medium,In Progress,DevOps,Ubuntu 22.04,,2025-04-01,"1. Open Outlook
2. Attempt normal operation
3. Observe: cannot login"
ITS-00115,API Gateway problem: scheduled maintenance overran window,My API Gateway is scheduled maintenance overran window. I've been experiencing this since this morning. Environment: macOS 14.,Incident,API Gateway,Incident,Low,Low,In Progress,Security,macOS 14,,2025-07-11,"1. Open API Gateway
2. Attempt normal operation
3. Observe: scheduled maintenance overran window"
ITS-00116,Printer fan making loud noise,The Printer has been fan making loud noise for the past few hours. OS: Chrome OS. Please help.,Hardware,Printer,Bug,Medium,Medium,Closed,IT Operations,Chrome OS,Updated BIOS firmware. Verified with user that issue is fixed.,2025-07-13,"1. Open Printer
2. Attempt normal operation
3. Observe: fan making loud noise"
ITS-00117,Mouse problem: no display output,The Mouse has been no display output for the past few hours. OS: macOS 14. Please help.,Hardware,Mouse,Service Request,Medium,Medium,Open,Help Desk,macOS 14,,2025-12-21,"1. Open Mouse
2. Attempt normal operation
3. Observe: no display output"
ITS-00118,API Gateway service outage affecting all users,The API Gateway has been service outage affecting all users for the past few hours. OS: Windows 11. Please help.,Incident,API Gateway,Incident,High,High,Closed,IT Operations,Windows 11,Blocked IP and reviewed access logs. Verified with user that issue is fixed.,2025-09-17,"1. Open API Gateway
2. Attempt normal operation
3. Observe: service outage affecting all users"
ITS-00119,Teams problem: corrupted installation,"Hi, I need help. Teams keeps corrupted installation. Started yesterday. I'm on Chrome OS.",Software,Teams,Question,Medium,Medium,Resolved,Help Desk,Chrome OS,Configured firewall exceptions. Verified with user that issue is fixed.,2025-07-18,"1. Open Teams
2. Attempt normal operation
3. Observe: corrupted installation"
ITS-00120,SSO problem: MFA not working,"Hi, I need help. SSO keeps MFA not working. Started yesterday. I'm on Windows 11.",Account,SSO,Service Request,Medium,Medium,Resolved,Help Desk,Windows 11,Reset password and synced. Verified with user that issue is fixed.,2025-04-02,"1. Open SSO
2. Attempt normal operation
3. Observe: MFA not working"
ITS-00121,Keyboard problem: freezing randomly,Issue with Keyboard: freezing randomly. This is affecting my work. Running on Windows 11.,Hardware,Keyboard,Service Request,Medium,Medium,Resolved,Help Desk,Windows 11,Replaced faulty component. Verified with user that issue is fixed.,2025-01-14,"1. Open Keyboard
2. Attempt normal operation
3. Observe: freezing randomly"
ITS-00122,[Hardware] Printer - cracked screen,Issue with Printer: cracked screen. This is affecting my work. Running on Windows 10.,Hardware,Printer,Service Request,Medium,Medium,Closed,Help Desk,Windows 10,Ordered replacement unit. Verified with user that issue is fixed.,2025-08-12,"1. Open Printer
2. Attempt normal operation
3. Observe: cracked screen"
ITS-00123,Printer USB ports not working,"Hi, I need help. Printer keeps USB ports not working. Started yesterday. I'm on Windows 11.",Hardware,Printer,Service Request,Medium,Medium,Resolved,IT Operations,Windows 11,Performed hardware diagnostic. Verified with user that issue is fixed.,2025-03-10,"1. Open Printer
2. Attempt normal operation
3. Observe: USB ports not working"
ITS-00124,Password problem: account deactivation request,"Hi, I need help. Password keeps account deactivation request. Started yesterday. I'm on Ubuntu 22.04.",Account,Password,Question,Medium,Medium,Closed,Security,Ubuntu 22.04,Unlocked account in AD. Verified with user that issue is fixed.,2025-07-14,"1. Open Password
2. Attempt normal operation
3. Observe: account deactivation request"
ITS-00125,[Hardware] Monitor - keyboard keys stuck,"Hi, I need help. Monitor keeps keyboard keys stuck. Started yesterday. I'm on Windows 11.",Hardware,Monitor,Question,Medium,Medium,Closed,Help Desk,Windows 11,Performed hardware diagnostic. Verified with user that issue is fixed.,2025-06-05,"1. Open Monitor
2. Attempt normal operation
3. Observe: keyboard keys stuck"
ITS-00126,Database problem: SSL certificate expired,Issue with Database: SSL certificate expired. This is affecting my work. Running on macOS 14.,Incident,Database,Incident,High,High,Closed,Network Engineering,macOS 14,Performed manual failover. Verified with user that issue is fixed.,2025-10-12,"1. Open Database
2. Attempt normal operation
3. Observe: SSL certificate expired"
ITS-00127,WiFi problem: cannot connect to WiFi,The WiFi has been cannot connect to WiFi for the past few hours. OS: Windows 10. Please help.,Network,WiFi,Question,Low,Low,Open,Help Desk,Windows 10,,2025-09-28,"1. Open WiFi
2. Attempt normal operation
3. Observe: cannot connect to WiFi"
ITS-00128,Firewall network drive not mapping,My Firewall is network drive not mapping. I've been experiencing this since this morning. Environment: Ubuntu 22.04.,Network,Firewall,Bug,Medium,Medium,Resolved,DevOps,Ubuntu 22.04,Updated VPN client. Verified with user that issue is fixed.,2025-04-21,"1. Open Firewall
2. Attempt normal operation
3. Observe: network drive not mapping"
ITS-00129,Web App backup job failed overnight,My Web App is backup job failed overnight. I've been experiencing this since this morning. Environment: Chrome OS.,Incident,Web App,Incident,Medium,Medium,In Progress,Help Desk,Chrome OS,,2025-02-24,"1. Open Web App
2. Attempt normal operation
3. Observe: backup job failed overnight"
ITS-00130,SAP problem: not syncing properly,My SAP is not syncing properly. I've been experiencing this since this morning. Environment: Chrome OS.,Software,SAP,Bug,Critical,Critical,Resolved,Security,Chrome OS,Applied latest patch. Verified with user that issue is fixed.,2025-11-15,"1. Open SAP
2. Attempt normal operation
3. Observe: not syncing properly"
ITS-00131,[Incident] API Gateway - disk space critical on production server,Issue with API Gateway: disk space critical on production server. This is affecting my work. Running on Chrome OS.,Incident,API Gateway,Incident,Medium,Medium,Open,Security,Chrome OS,,2025-06-22,"1. Open API Gateway
2. Attempt normal operation
3. Observe: disk space critical on production server"
ITS-00132,Email password expired,The Email has been password expired for the past few hours. OS: Ubuntu 22.04. Please help.,Account,Email,Service Request,High,High,Open,Security,Ubuntu 22.04,,2025-10-28,"1. Open Email
2. Attempt normal operation
3. Observe: password expired"
ITS-00133,[Software] Teams - missing features after update,Issue with Teams: missing features after update. This is affecting my work. Running on Windows 11.,Software,Teams,Service Request,Low,Low,In Progress,Network Engineering,Windows 11,,2025-11-27,"1. Open Teams
2. Attempt normal operation
3. Observe: missing features after update"
ITS-00134,Mouse problem: not connecting to docking station,Urgent: Mouse - not connecting to docking station. Multiple users reporting similar issues. Environment is Windows 10.,Hardware,Mouse,Question,Medium,Medium,Resolved,Network Engineering,Windows 10,Cleaned internal fans. Verified with user that issue is fixed.,2025-03-17,"1. Open Mouse
2. Attempt normal operation
3. Observe: not connecting to docking station"
ITS-00135,Docking Station problem: USB ports not working,My Docking Station is USB ports not working. I've been experiencing this since this morning. Environment: Windows 11.,Hardware,Docking Station,Question,Medium,Medium,Open,Security,Windows 11,,2025-08-19,"1. Open Docking Station
2. Attempt normal operation
3. Observe: USB ports not working"
ITS-00136,Password problem: email forwarding setup,Issue with Password: email forwarding setup. This is affecting my work. Running on Chrome OS.,Account,Password,Question,Medium,Medium,Resolved,IT Operations,Chrome OS,Updated group memberships. Verified with user that issue is fixed.,2025-08-11,"1. Open Password
2. Attempt normal operation
3. Observe: email forwarding setup"
ITS-00137,Laptop freezing randomly,"Hi, I need help. Laptop keeps freezing randomly. Started yesterday. I'm on Ubuntu 22.04.",Hardware,Laptop,Bug,High,High,In Progress,IT Operations,Ubuntu 22.04,,2025-01-05,"1. Open Laptop
2. Attempt normal operation
3. Observe: freezing randomly"
ITS-00138,[Incident] API Gateway - service outage affecting all users,Issue with API Gateway: service outage affecting all users. This is affecting my work. Running on Chrome OS.,Incident,API Gateway,Incident,Medium,Medium,Open,Security,Chrome OS,,2025-09-15,"1. Open API Gateway
2. Attempt normal operation
3. Observe: service outage affecting all users"
ITS-00139,Email problem: group membership change needed,"Hi, I need help. Email keeps group membership change needed. Started yesterday. I'm on Chrome OS.",Account,Email,Bug,Low,Low,Resolved,Network Engineering,Chrome OS,Updated group memberships. Verified with user that issue is fixed.,2025-12-20,"1. Open Email
2. Attempt normal operation
3. Observe: group membership change needed"
ITS-00140,[Network] Proxy - IP conflict,"Hi, I need help. Proxy keeps IP conflict. Started yesterday. I'm on macOS 14.",Network,Proxy,Bug,Medium,Medium,In Progress,IT Operations,macOS 14,,2025-01-28,"1. Open Proxy
2. Attempt normal operation
3. Observe: IP conflict"
ITS-00141,[Software] Teams - memory leak causing slowdown,The Teams has been memory leak causing slowdown for the past few hours. OS: Windows 11. Please help.,Software,Teams,Bug,Medium,Medium,Closed,Help Desk,Windows 11,Reinstalled application. Verified with user that issue is fixed.,2025-10-24,"1. Open Teams
2. Attempt normal operation
3. Observe: memory leak causing slowdown"
ITS-00142,[Account] MFA - email forwarding setup,The MFA has been email forwarding setup for the past few hours. OS: Windows 10. Please help.,Account,MFA,Bug,Low,Low,Open,Security,Windows 10,,2025-09-06,"1. Open MFA
2. Attempt normal operation
3. Observe: email forwarding setup"
ITS-00143,[Incident] Load Balancer - degraded performance across region,"Hi, I need help. Load Balancer keeps degraded performance across region. Started yesterday. I'm on Windows 11.",Incident,Load Balancer,Incident,Low,Low,Open,Network Engineering,Windows 11,,2025-01-10,"1. Open Load Balancer
2. Attempt normal operation
3. Observe: degraded performance across region"
ITS-00144,[Software] Windows - error code 0x80070005,"Hi, I need help. Windows keeps error code 0x80070005. Started yesterday. I'm on Windows 10.",Software,Windows,Question,Medium,Medium,Resolved,IT Operations,Windows 10,Applied latest patch. Verified with user that issue is fixed.,2025-06-22,"1. Open Windows
2. Attempt normal operation
3. Observe: error code 0x80070005"
ITS-00145,Keyboard battery not charging,Issue with Keyboard: battery not charging. This is affecting my work. Running on Chrome OS.,Hardware,Keyboard,Bug,Medium,Medium,Open,IT Operations,Chrome OS,,2025-11-25,"1. Open Keyboard
2. Attempt normal operation
3. Observe: battery not charging"
ITS-00146,[Network] VPN - proxy authentication error,"Hi, I need help. VPN keeps proxy authentication error. Started yesterday. I'm on Ubuntu 22.04.",Network,VPN,Question,Medium,Medium,Closed,IT Operations,Ubuntu 22.04,Replaced network cable. Verified with user that issue is fixed.,2025-06-08,"1. Open VPN
2. Attempt normal operation
3. Observe: proxy authentication error"
ITS-00147,Web App problem: SSL certificate expired,Urgent: Web App - SSL certificate expired. Multiple users reporting similar issues. Environment is Windows 10.,Incident,Web App,Incident,High,High,Closed,Help Desk,Windows 10,Performed manual failover. Verified with user that issue is fixed.,2025-04-06,"1. Open Web App
2. Attempt normal operation
3. Observe: SSL certificate expired"
ITS-00148,Storage degraded performance across region,"Hi, I need help. Storage keeps degraded performance across region. Started yesterday. I'm on Ubuntu 22.04.",Incident,Storage,Incident,Medium,Medium,Closed,IT Operations,Ubuntu 22.04,Performed manual failover. Verified with user that issue is fixed.,2025-01-28,"1. Open Storage
2. Attempt normal operation
3. Observe: degraded performance across region"
ITS-00149,Email Server problem: SSL certificate expired,"Hi, I need help. Email Server keeps SSL certificate expired. Started yesterday. I'm on Ubuntu 22.04.",Incident,Email Server,Incident,Low,Low,Resolved,DevOps,Ubuntu 22.04,Blocked IP and reviewed access logs. Verified with user that issue is fixed.,2025-09-03,"1. Open Email Server
2. Attempt normal operation
3. Observe: SSL certificate expired"
ITS-00150,Password problem: new hire needs account setup,Urgent: Password - new hire needs account setup. Multiple users reporting similar issues. Environment is Chrome OS.,Account,Password,Bug,Critical,Critical,Open,Security,Chrome OS,,2025-06-22,"1. Open Password
2. Attempt normal operation
3. Observe: new hire needs account setup"
ITS-00151,Storage problem: unauthorized access attempt detected,My Storage is unauthorized access attempt detected. I've been experiencing this since this morning. Environment: Ubuntu 22.04.,Incident,Storage,Incident,Medium,Medium,Resolved,Help Desk,Ubuntu 22.04,Renewed SSL certificate and redeployed. Verified with user that issue is fixed.,2025-01-01,"1. Open Storage
2. Attempt normal operation
3. Observe: unauthorized access attempt detected"
ITS-00152,SSO problem: SSO login loop,The SSO has been SSO login loop for the past few hours. OS: Windows 11. Please help.,Account,SSO,Service Request,Medium,Medium,Resolved,Network Engineering,Windows 11,Granted appropriate permissions. Verified with user that issue is fixed.,2025-06-03,"1. Open SSO
2. Attempt normal operation
3. Observe: SSO login loop"
ITS-00153,Database service outage affecting all users,Urgent: Database - service outage affecting all users. Multiple users reporting similar issues. Environment is Windows 11.,Incident,Database,Incident,Medium,Medium,Closed,IT Operations,Windows 11,Scaled up server resources. Verified with user that issue is fixed.,2025-09-22,"1. Open Database
2. Attempt normal operation
3. Observe: service outage affecting all users"
ITS-00154,SAP problem: not syncing properly,"Hi, I need help. SAP keeps not syncing properly. Started yesterday. I'm on Windows 10.",Software,SAP,Service Request,High,High,Open,Security,Windows 10,,2025-12-14,"1. Open SAP
2. Attempt normal operation
3. Observe: not syncing properly"
ITS-00155,[Account] Active Directory - SSO login loop,Urgent: Active Directory - SSO login loop. Multiple users reporting similar issues. Environment is Chrome OS.,Account,Active Directory,Service Request,Medium,Medium,Open,DevOps,Chrome OS,,2025-05-13,"1. Open Active Directory
2. Attempt normal operation
3. Observe: SSO login loop"
ITS-00156,Database scheduled maintenance overran window,"Hi, I need help. Database keeps scheduled maintenance overran window. Started yesterday. I'm on Windows 10.",Incident,Database,Incident,Low,Low,Open,IT Operations,Windows 10,,2025-07-25,"1. Open Database
2. Attempt normal operation
3. Observe: scheduled maintenance overran window"
ITS-00157,Firewall problem: network drive not mapping,The Firewall has been network drive not mapping for the past few hours. OS: Ubuntu 22.04. Please help.,Network,Firewall,Bug,Medium,Medium,Resolved,Help Desk,Ubuntu 22.04,Assigned static IP. Verified with user that issue is fixed.,2025-05-08,"1. Open Firewall
2. Attempt normal operation
3. Observe: network drive not mapping"
ITS-00158,API Gateway SSL certificate expired,"Hi, I need help. API Gateway keeps SSL certificate expired. Started yesterday. I'm on macOS 14.",Incident,API Gateway,Incident,Medium,Medium,In Progress,Help Desk,macOS 14,,2025-04-14,"1. Open API Gateway
2. Attempt normal operation
3. Observe: SSL certificate expired"
ITS-00159,[Software] Outlook - plugin not working,The Outlook has been plugin not working for the past few hours. OS: Windows 11. Please help.,Software,Outlook,Service Request,Medium,Medium,Open,IT Operations,Windows 11,,2025-08-17,"1. Open Outlook
2. Attempt normal operation
3. Observe: plugin not working"
ITS-00160,[Network] Firewall - network drive not mapping,Issue with Firewall: network drive not mapping. This is affecting my work. Running on Windows 10.,Network,Firewall,Service Request,Medium,Medium,In Progress,Security,Windows 10,,2025-11-23,"1. Open Firewall
2. Attempt normal operation
3. Observe: network drive not mapping"
ITS-00161,Mouse cracked screen,"Hi, I need help. Mouse keeps cracked screen. Started yesterday. I'm on Ubuntu 22.04.",Hardware,Mouse,Bug,Low,Low,In Progress,Help Desk,Ubuntu 22.04,,2025-07-07,"1. Open Mouse
2. Attempt normal operation
3. Observe: cracked screen"
ITS-00162,Monitor problem: screen flickering,The Monitor has been screen flickering for the past few hours. OS: Ubuntu 22.04. Please help.,Hardware,Monitor,Service Request,Low,Low,Resolved,Help Desk,Ubuntu 22.04,Updated device drivers. Verified with user that issue is fixed.,2025-02-13,"1. Open Monitor
2. Attempt normal operation
3. Observe: screen flickering"
ITS-00163,[Incident] Web App - SSL certificate expired,My Web App is SSL certificate expired. I've been experiencing this since this morning. Environment: Ubuntu 22.04.,Incident,Web App,Incident,Medium,Medium,Open,Help Desk,Ubuntu 22.04,,2025-04-19,"1. Open Web App
2. Attempt normal operation
3. Observe: SSL certificate expired"
ITS-00164,Outlook problem: not responding,The Outlook has been not responding for the past few hours. OS: macOS 14. Please help.,Software,Outlook,Question,Low,Low,Open,Help Desk,macOS 14,,2025-12-18,"1. Open Outlook
2. Attempt normal operation
3. Observe: not responding"
ITS-00165,Storage service outage affecting all users,"Hi, I need help. Storage keeps service outage affecting all users. Started yesterday. I'm on Ubuntu 22.04.",Incident,Storage,Incident,Medium,Medium,In Progress,Help Desk,Ubuntu 22.04,,2025-02-27,"1. Open Storage
2. Attempt normal operation
3. Observe: service outage affecting all users"
ITS-00166,[Incident] Web App - data sync failure between systems,The Web App has been data sync failure between systems for the past few hours. OS: macOS 14. Please help.,Incident,Web App,Incident,Medium,Medium,Open,Network Engineering,macOS 14,,2025-04-24,"1. Open Web App
2. Attempt normal operation
3. Observe: data sync failure between systems"
ITS-00167,[Incident] Storage - degraded performance across region,Urgent: Storage - degraded performance across region. Multiple users reporting similar issues. Environment is Windows 10.,Incident,Storage,Incident,Medium,Medium,In Progress,IT Operations,Windows 10,,2025-03-02,"1. Open Storage
2. Attempt normal operation
3. Observe: degraded performance across region"
ITS-00168,Password password expired,Urgent: Password - password expired. Multiple users reporting similar issues. Environment is Ubuntu 22.04.,Account,Password,Service Request,Medium,Medium,Resolved,Security,Ubuntu 22.04,Created new account with standard template. Verified with user that issue is fixed.,2025-12-23,"1. Open Password
2. Attempt normal operation
3. Observe: password expired"
ITS-00169,Password cannot access shared mailbox,"Hi, I need help. Password keeps cannot access shared mailbox. Started yesterday. I'm on Windows 10.",Account,Password,Question,Medium,Medium,In Progress,Network Engineering,Windows 10,,2025-09-15,"1. Open Password
2. Attempt normal operation
3. Observe: cannot access shared mailbox"
ITS-00170,Ethernet network drive not mapping,Issue with Ethernet: network drive not mapping. This is affecting my work. Running on Chrome OS.,Network,Ethernet,Service Request,Low,Low,Closed,DevOps,Chrome OS,Replaced network cable. Verified with user that issue is fixed.,2025-04-25,"1. Open Ethernet
2. Attempt normal operation
3. Observe: network drive not mapping"
ITS-00171,[Network] WiFi - proxy authentication error,"Hi, I need help. WiFi keeps proxy authentication error. Started yesterday. I'm on Windows 11.",Network,WiFi,Question,Low,Low,Open,Help Desk,Windows 11,,2025-06-09,"1. Open WiFi
2. Attempt normal operation
3. Observe: proxy authentication error"
ITS-00172,[Software] SAP - slow loading,"Hi, I need help. SAP keeps slow loading. Started yesterday. I'm on Windows 10.",Software,SAP,Bug,Low,Low,Resolved,IT Operations,Windows 10,Renewed license through admin portal. Verified with user that issue is fixed.,2025-10-11,"1. Open SAP
2. Attempt normal operation
3. Observe: slow loading"
ITS-00173,[Incident] Database - disk space critical on production server,The Database has been disk space critical on production server for the past few hours. OS: macOS 14. Please help.,Incident,Database,Incident,Medium,Medium,In Progress,Network Engineering,macOS 14,,2025-06-18,"1. Open Database
2. Attempt normal operation
3. Observe: disk space critical on production server"
ITS-00174,Password problem: account locked out,Issue with Password: account locked out. This is affecting my work. Running on Chrome OS.,Account,Password,Service Request,Critical,Critical,Resolved,Network Engineering,Chrome OS,Unlocked account in AD. Verified with user that issue is fixed.,2025-10-23,"1. Open Password
2. Attempt normal operation
3. Observe: account locked out"
ITS-00175,[Account] MFA - account deactivation request,"Hi, I need help. MFA keeps account deactivation request. Started yesterday. I'm on Ubuntu 22.04.",Account,MFA,Service Request,Critical,Critical,Closed,Network Engineering,Ubuntu 22.04,Reset password and synced. Verified with user that issue is fixed.,2025-12-15,"1. Open MFA
2. Attempt normal operation
3. Observe: account deactivation request"
ITS-00176,Proxy slow internet speed,The Proxy has been slow internet speed for the past few hours. OS: Windows 11. Please help.,Network,Proxy,Bug,Medium,Medium,Resolved,DevOps,Windows 11,Assigned static IP. Verified with user that issue is fixed.,2025-02-27,"1. Open Proxy
2. Attempt normal operation
3. Observe: slow internet speed"
ITS-00177,Database degraded performance across region,Urgent: Database - degraded performance across region. Multiple users reporting similar issues. Environment is Windows 10.,Incident,Database,Incident,Medium,Medium,Closed,DevOps,Windows 10,Freed disk space and set alerts. Verified with user that issue is fixed.,2025-12-07,"1. Open Database
2. Attempt normal operation
3. Observe: degraded performance across region"
ITS-00178,[Software] SAP - crashing on startup,"Hi, I need help. SAP keeps crashing on startup. Started yesterday. I'm on Windows 10.",Software,SAP,Bug,Low,Low,Open,Network Engineering,Windows 10,,2025-07-06,"1. Open SAP
2. Attempt normal operation
3. Observe: crashing on startup"
ITS-00179,[Network] DNS - network drive not mapping,"Hi, I need help. DNS keeps network drive not mapping. Started yesterday. I'm on Chrome OS.",Network,DNS,Question,High,High,Closed,IT Operations,Chrome OS,Replaced network cable. Verified with user that issue is fixed.,2025-09-05,"1. Open DNS
2. Attempt normal operation
3. Observe: network drive not mapping"
ITS-00180,WiFi proxy authentication error,My WiFi is proxy authentication error. I've been experiencing this since this morning. Environment: Windows 11.,Network,WiFi,Service Request,Critical,Critical,Resolved,Network Engineering,Windows 11,Reconfigured proxy settings. Verified with user that issue is fixed.,2025-02-21,"1. Open WiFi
2. Attempt normal operation
3. Observe: proxy authentication error"
ITS-00181,Keyboard overheating,Urgent: Keyboard - overheating. Multiple users reporting similar issues. Environment is Windows 10.,Hardware,Keyboard,Bug,Low,Low,In Progress,DevOps,Windows 10,,2025-06-07,"1. Open Keyboard
2. Attempt normal operation
3. Observe: overheating"
ITS-00182,[Network] Proxy - slow internet speed,Issue with Proxy: slow internet speed. This is affecting my work. Running on Ubuntu 22.04.,Network,Proxy,Question,Medium,Medium,In Progress,Network Engineering,Ubuntu 22.04,,2025-06-03,"1. Open Proxy
2. Attempt normal operation
3. Observe: slow internet speed"
ITS-00183,SAP problem: corrupted installation,My SAP is corrupted installation. I've been experiencing this since this morning. Environment: Chrome OS.,Software,SAP,Service Request,Medium,Medium,Open,Security,Chrome OS,,2025-10-21,"1. Open SAP
2. Attempt normal operation
3. Observe: corrupted installation"
ITS-00184,Database problem: disk space critical on production server,Urgent: Database - disk space critical on production server. Multiple users reporting similar issues. Environment is Windows 11.,Incident,Database,Incident,High,High,Resolved,DevOps,Windows 11,Performed manual failover. Verified with user that issue is fixed.,2025-02-24,"1. Open Database
2. Attempt normal operation
3. Observe: disk space critical on production server"
ITS-00185,[Software] Office 365 - license expired,"Hi, I need help. Office 365 keeps license expired. Started yesterday. I'm on macOS 14.",Software,Office 365,Bug,Medium,Medium,Resolved,Security,macOS 14,Cleared cache and temp files. Verified with user that issue is fixed.,2025-05-13,"1. Open Office 365
2. Attempt normal operation
3. Observe: license expired"
